Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] New
A1084a,A71EV2A-x1084_A_147_v1,A71EV2A-x1084,Z1415893881,NC(=O)C1(N)CC1,A71EV2A-x0488/A/68/A_v1,False,7d - A71EV2A-x1084/A/147,7 - A71EV2A-x0488/A/147/1,F1t - A71EV2A-x0488/A/147/1,A1 - monomer,F1 - A71/2A/open,7d - A1084/A/147,7 - A0488/A/147/1,F1t - A0488/A/147,A1 - monomer,F1 - A71/2A/open,7d - A1084/A/147,7 - A0488/A/147/1,F1t - A0488/A/147,A1 - monomer,F1 - A71/2A/open,A1084a,True
A1105a,A71EV2A-x1105_A_147_v1,A71EV2A-x1105,Z276142580,c1ccc(-c2ccncc2)cc1,A71EV2A-x0395/A/63/A_v1,False,2a - A71EV2A-x0395/A/148,2 - A71EV2A-x0395/A/148/1,F1j - A71EV2A-x0395/A/147/1,A1 - monomer,F1 - A71/2A/open,2a - A0395/A/148,2 - A0395/A/148/1,F1j - A0395/A/147,A1 - monomer,F1 - A71/2A/open,2a - A0395/A/148,2 - A0395/A/148/1,F1j - A0395/A/147,A1 - monomer,F1 - A71/2A/open,A1105a,True
A1105b,A71EV2A-x1105_A_148_v1,A71EV2A-x1105,Z276142580,c1ccc(-c2ccncc2)cc1,A71EV2A-x0395/A/63/A_v1,False,2a - A71EV2A-x0395/A/148,2 - A71EV2A-x0395/A/148/1,F1j - A71EV2A-x0395/A/147/1,A1 - monomer,F1 - A71/2A/open,2a - A0395/A/148,2 - A0395/A/148/1,F1j - A0395/A/147,A1 - monomer,F1 - A71/2A/open,2a - A0395/A/148,2 - A0395/A/148/1,F1j - A0395/A/147,A1 - monomer,F1 - A71/2A/open,A1105a,True
A1109a,A71EV2A-x1109_A_147_v1,A71EV2A-x1109,Z315923746,O=C(O)c1cnc(-c2ccccc2)s1,A71EV2A-x0395/A/63/A_v1,False,2a - A71EV2A-x0395/A/148,2 - A71EV2A-x0395/A/148/1,F2k - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71/2A/open/small/cell,2a - A0395/A/148,2 - A0395/A/148/1,F2k - A0497/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,2a - A0395/A/148,2 - A0395/A/148/1,F2k - A0497/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,A1109a,True
A1128a,A71EV2A-x1128_A_147_v1,A71EV2A-x1128,Z57663553,Oc1nnc(-c2ccccc2)o1,A71EV2A-x0900/A/27/A_v1,False,10b - A71EV2A-x1128/A/147,10 - A71EV2A-x0900/A/147/1,F2w - A71EV2A-x0900/A/147/1,A1 - monomer,F2 - A71/2A/open/small/cell,10b - A1128/A/147,10 - A0900/A/147/1,F2w - A0900/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,10b - A1128/A/147,10 - A0900/A/147/1,F2w - A0900/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,A1128a,True
A1140a,A71EV2A-x1140_A_147_v1,A71EV2A-x1140,Z56042334,O=C(CN1CCCC1)c1ccccc1Cl,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F2b - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,1a - A0526/A/147,1 - A0526/A/147/1,F2b - A0450/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,1a - A0526/A/147,1 - A0526/A/147/1,F2b - A0450/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A1140a,True
A1145b,A71EV2A-x1145_A_147_v1,A71EV2A-x1145,Z969111002,Fc1ccc(C[C@@H]2CCCNC2)cc1,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F2p - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2p - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2p - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A1145b,True
A1145a,A71EV2A-x1145_A_201_v1,A71EV2A-x1145,Z969111002,Fc1ccc(C[C@H]2CCCNC2)cc1,A71EV2A-x0395/A/63/A_v1,False,2a - A71EV2A-x0395/A/148,2 - A71EV2A-x0395/A/148/1,F2k - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71/2A/open/small/cell,2a - A0395/A/148,2 - A0395/A/148/1,F2k - A0497/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,2a - A0395/A/148,2 - A0395/A/148/1,F2k - A0497/A/147,A1 - monomer,F2 - A71/2A/open/small/cell,A1145a,True
A1146a,A71EV2A-x1146_A_147_v1,A71EV2A-x1146,Z362043378,Oc1cnc(-c2ccccc2)nc1,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F2p - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2p - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,4a - A3181/A/202,4 - A3181/A/202/1,F2p - A0528/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A1146a,True
A1148a,A71EV2A-x1148_A_201_v1,A71EV2A-x1148,Z1213725191,Brc1c[nH]cn1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F4f - A71EV2A-x0836/A/301/1,A1 - monomer,F4 - A71/2A/new/model/x2721/4.1/ref3,1a - A0526/A/147,1 - A0526/A/147/1,F4f - A0836/A/301,A1 - monomer,F4 - A71/2A/new/model/x2721/4.1/ref3,1a - A0526/A/147,1 - A0526/A/147/1,F4f - A0836/A/301,A1 - monomer,F4 - A71/2A/new/model/x2721/4.1/ref3,A1148a,True
A1148b,A71EV2A-x1148_A_147_v1,A71EV2A-x1148,Z1213725191,Brc1c[nH]cn1,A71EV2A-x0395/A/63/A_v1,False,2a - A71EV2A-x0395/A/148,2 - A71EV2A-x0395/A/148/1,F4l - A71EV2A-x1148/A/147/1,A1 - monomer,F4 - A71/2A/new/model/x2721/4.1/ref3,2a - A0395/A/148,2 - A0395/A/148/1,F4l - A1148/A/147,A1 - monomer,F4 - A71/2A/new/model/x2721/4.1/ref3,2a - A0395/A/148,2 - A0395/A/148/1,F4l - A1148/A/147,A1 - monomer,F4 - A71/2A/new/model/x2721/4.1/ref3,A1148b,True
