Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] New
A2454a,A71EV2A-x2454_A_246_v1,A71EV2A-x2454,ASAP-0019110-002,CC(=O)Nc1cccc(NC(N)=O)c1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F1g - A71EV2A-x0853/A/147/1,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,A2454a,True
A2458a,A71EV2A-x2458_A_246_v1,A71EV2A-x2458,ASAP-0018402-002,CNS(=O)(=O)c1ccccc1Cl,A71EV2A-x0541/A/97/A_v1,False,3a - A71EV2A-x0541/A/147,3 - A71EV2A-x0541/A/147/1,F1n - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1n - A0541/A/147,A1 - monomer,F1 - A71/2A/open,3a - A0541/A/147,3 - A0541/A/147/1,F1n - A0541/A/147,A1 - monomer,F1 - A71/2A/open,A2458a,True
A2513a,A71EV2A-x2513_A_301_v1,A71EV2A-x2513,ASAP-0030968-001,COc1ccc(Cl)c2c1C(=O)C(=O)N2,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F1g - A71EV2A-x0853/A/147/1,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,A2513a,True
A2629a,A71EV2A-x2629_A_246_v1,A71EV2A-x2629,ASAP-0030531-001,COc1ccccc1NC(=O)Nc1cccnc1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F1g - A71EV2A-x0853/A/147/1,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,A2629a,True
A2846a,A71EV2A-x2846_A_301_v1,A71EV2A-x2846,ASAP-0031281-001,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F1g - A71EV2A-x0853/A/147/1,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,A2846a,True
A2972a,A71EV2A-x2972_A_201_v1,A71EV2A-x2972,ASAP-0031631-001,Cn1nc(C(=O)NCc2c[nH]cn2)c2ccccc21,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F1g - A71EV2A-x0853/A/147/1,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,A2972a,True
A3054a,A71EV2A-x3054_A_201_v1,A71EV2A-x3054,ASAP-0031501-001,Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F2b - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71/2A/open/small/cell,1a - A0526/A/147,1 - A0526/A/147/1,F2b - A0450/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,1a - A0526/A/147,1 - A0526/A/147/1,F2b - A0450/A/201,A1 - monomer,F2 - A71/2A/open/small/cell,A3054a,True
A3175a,A71EV2A-x3175_A_201_v1,A71EV2A-x3175,ASAP-0031591-001,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F5h - A71EV2A-x3175/A/201/1,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5h - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5h - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,A3175a,True
A3176a,A71EV2A-x3176_A_201_v1,A71EV2A-x3176,ASAP-0031604-001,COC[C@H](C)NC(=O)c1nn(C)c2ccccc12,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F5h - A71EV2A-x3175/A/201/1,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5h - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5h - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,A3176a,True
A3177a,A71EV2A-x3177_A_201_v1,A71EV2A-x3177,ASAP-0031536-001,Cn1nc(C(=O)N[C@H]2C[C@H]2CO)c2ccccc21,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F5h - A71EV2A-x3175/A/201/1,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5h - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5h - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,A3177a,True
A3178a,A71EV2A-x3178_A_201_v1,A71EV2A-x3178,ASAP-0031668-001,Cn1nc(C(=O)N[C@H]2CCOC2)c2ccccc21,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F5h - A71EV2A-x3175/A/201/1,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5h - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,1a - A0526/A/147,1 - A0526/A/147/1,F5h - A3175/A/201,A1 - monomer,F5 - A71EV2A/x3178/new/long/dials/041024,A3178a,True
A3181b,A71EV2A-x3181_A_202_v1,A71EV2A-x3181,ASAP-0031733-001,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,A71EV2A-x3181/A/20/A_v1,False,4a - A71EV2A-x3181/A/202,4 - A71EV2A-x3181/A/202/1,F1q - A71EV2A-x3181/A/202/1,A1 - monomer,F1 - A71/2A/open,4a - A3181/A/202,4 - A3181/A/202/1,F1q - A3181/A/202,A1 - monomer,F1 - A71/2A/open,4a - A3181/A/202,4 - A3181/A/202/1,F1q - A3181/A/202,A1 - monomer,F1 - A71/2A/open,A3181b,True
A3181a,A71EV2A-x3181_A_201_v1,A71EV2A-x3181,ASAP-0031733-001,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,A71EV2A-x0526/A/133/A_v1,False,1a - A71EV2A-x0526/A/147,1 - A71EV2A-x0526/A/147/1,F1g - A71EV2A-x0853/A/147/1,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,1a - A0526/A/147,1 - A0526/A/147/1,F1g - A0853/A/147,A1 - monomer,F1 - A71/2A/open,A3181a,True
