Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] New
fa1985f,FATAATA-x1985_B_601_v1,FATAATA-x1985,Z55993012,CCN(CC)C(=O)c1ccc(N)cc1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1985a,True
fa1985c,FATAATA-x1985_A_360_v1,FATAATA-x1985,Z55993012,CCN(CC)C(=O)c1ccc(N)cc1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985/A/360,3 - FATAATA-x1985/A/360/1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985/A/360,3 - fa1985/A/360/1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa1985c,True
fa1985g,FATAATA-x1985_B_401_v1,FATAATA-x1985,Z55993012,CCN(CC)C(=O)c1ccc(N)cc1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985/A/360,3 - FATAATA-x1985/A/360/1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985/A/360,3 - fa1985/A/360/1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa1985c,True
fa1991a,FATAATA-x1991_A_401_v1,FATAATA-x1991,Z56813508,N#CCC(=O)NC1CCCCC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1991a,True
fa1991b,FATAATA-x1991_B_401_v1,FATAATA-x1991,Z56813508,N#CCC(=O)NC1CCCCC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1991a,True
fa1996a,FATAATA-x1996_A_401_v1,FATAATA-x1996,Z56880342,CCNC(=O)Nc1cc(C)on1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1996a,True
fa1996b,FATAATA-x1996_B_401_v1,FATAATA-x1996,Z56880342,CCNC(=O)Nc1cc(C)on1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1996a,True
fa2004a,FATAATA-x2004_A_401_v1,FATAATA-x2004,Z56960248,CNC[C@@H]1COc2ccccc2O1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2004a,True
fa2004b,FATAATA-x2004_B_401_v1,FATAATA-x2004,Z56960248,CNC[C@@H]1COc2ccccc2O1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2004a,True
fa2006a,FATAATA-x2006_A_401_v1,FATAATA-x2006,Z56978034,O=C([O-])COc1ccc(F)cc1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985/A/360,3 - FATAATA-x1985/A/360/1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985/A/360,3 - fa1985/A/360/1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa2006a,True
fa2006b,FATAATA-x2006_B_360_v1,FATAATA-x2006,Z56978034,O=C([O-])COc1ccc(F)cc1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985/A/360,3 - FATAATA-x1985/A/360/1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985/A/360,3 - fa1985/A/360/1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa2006a,True
fa2010a,FATAATA-x2010_A_360_v1,FATAATA-x2010,Z57122377,CN1CCN(C(=O)c2ccc(F)c(F)c2)CC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2010a,True
fa2010b,FATAATA-x2010_B_401_v1,FATAATA-x2010,Z57122377,CN1CCN(C(=O)c2ccc(F)c(F)c2)CC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2010a,True
fa2025a,FATAATA-x2025_A_361_v1,FATAATA-x2025,Z57744712,CN(C)S(=O)(=O)N1CCOCC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2025a,True
fa2025b,FATAATA-x2025_B_401_v1,FATAATA-x2025,Z57744712,CN(C)S(=O)(=O)N1CCOCC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2025a,True
fa2032a,FATAATA-x2032_A_401_v1,FATAATA-x2032,Z608065044,CN(C)S(=O)(=O)c1cn[nH]c1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2032a,True
