Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] upload_1 2024-11-13,[Other] fragment screen,[Other] DENV-3,[Other] Thumb Site 2,[Other] external,[Other] Primer grip,[Other] New,[Other] DENV-2,[Other] Green Site,[Other] Active site,[Other] unconfirmed
d0866a,DNV2_NS5A-x0866_A_2101_v1,DNV2_NS5A-x0866,POB0015,C[C@@H]1[C@H](C(=O)N2CCCC2)CCCN1S(C)(=O)=O,DNV2_NS5A-x0254/A/512/A_v1,False,3a - DNV2_NS5A-x0254/A/1701,3 - DNV2_NS5A-x0254/A/1701/1,F1g - DNV2_NS5A-x0160/A/1702/1,A1 - monomer,F1 - I222,3a - d0254/A/1701,3 - d0254/A/1701/1,F1g - d0160/A/1702,A1 - monomer,F1 - I222,3a - d0254/A/1701,3 - d0254/A/1701/1,F1g - d0160/A/1702,A1 - monomer,F1 - I222,d0866a,True,True,False,False,False,True,False,True,False,False,False
6izx-a,6izx_A_912_v1,6izx,,CC(=O)Oc1ccc2oc(=O)sc2c1,DNV2_NS5A-x0254/A/512/A_v1,False,3a - DNV2_NS5A-x0254/A/1701,3 - DNV2_NS5A-x0254/A/1701/1,F3f - 6izx/A/912/1,A1 - monomer,F3 - I432,3a - d0254/A/1701,3 - d0254/A/1701/1,F3f - 6izx/A/912/1,A1 - monomer,F3 - I432,3a - d0254/A/1701,3 - d0254/A/1701/1,F3f - 6izx/A/912/1,A1 - monomer,F3 - I432,6izx-a,True,False,False,False,True,True,False,True,False,False,False
5k5m-a,5k5m_A_1003_v1,5k5m,,COc1cccc(S(=O)(=O)NC(=O)c2cc(-c3ccc(C#CCO)s3)c(OC)cc2OC)c1,DNV2_NS5A-x0254/A/512/A_v1,False,3a - DNV2_NS5A-x0254/A/1701,3 - DNV2_NS5A-x0254/A/1701/1,F1h - DNV2_NS5A-x0254/A/1701/1,A1 - monomer,F1 - I222,3a - d0254/A/1701,3 - d0254/A/1701/1,F1h - d0254/A/1701,A1 - monomer,F1 - I222,3a - d0254/A/1701,3 - d0254/A/1701/1,F1h - d0254/A/1701,A1 - monomer,F1 - I222,5k5m-a,True,False,False,False,True,True,False,True,False,False,False
d0288a,DNV2_NS5A-x0288_A_1701_v1,DNV2_NS5A-x0288,Z851110644,CNC(=O)c1cnc(C)s1,DNV2_NS5A-x0288/A/646/A_v1,False,9a - DNV2_NS5A-x0288/A/1701,9 - DNV2_NS5A-x0288/A/1701/1,F1r - DNV2_NS5A-x0288/A/1701/1,A1 - monomer,F1 - I222,9a - d0288/A/1701,9 - d0288/A/1701/1,F1r - d0288/A/1701,A1 - monomer,F1 - I222,9a - d0288/A/1701,9 - d0288/A/1701/1,F1r - d0288/A/1701,A1 - monomer,F1 - I222,d0288a,True,True,False,False,False,False,False,True,False,False,True
d1192a,DNV2_NS5A-x1192_A_1701_v1,DNV2_NS5A-x1192,Z31113727,O=C1CCN(c2ccccn2)CC1,DNV2_NS5A-x0288/A/646/A_v1,False,9a - DNV2_NS5A-x0288/A/1701,9 - DNV2_NS5A-x0288/A/1701/1,F1r - DNV2_NS5A-x0288/A/1701/1,A1 - monomer,F1 - I222,9a - d0288/A/1701,9 - d0288/A/1701/1,F1r - d0288/A/1701,A1 - monomer,F1 - I222,9a - d0288/A/1701,9 - d0288/A/1701/1,F1r - d0288/A/1701,A1 - monomer,F1 - I222,d1192a,True,True,False,False,False,False,False,True,False,False,True
d0323a,DNV2_NS5A-x0323_A_1701_v1,DNV2_NS5A-x0323,Z952016136,Clc1cccc2nc[nH]c12,DNV2_NS5A-x0323/A/380/A_v1,False,18a - DNV2_NS5A-x0323/A/1701,18 - DNV2_NS5A-x0323/A/1701/1,F1aa - DNV2_NS5A-x0323/A/1701/1,A1 - monomer,F1 - I222,18a - d0323/A/1701,18 - d0323/A/1701/1,F1aa - d0323/A/1701,A1 - monomer,F1 - I222,18a - d0323/A/1701,18 - d0323/A/1701/1,F1aa - d0323/A/1701,A1 - monomer,F1 - I222,d0323a,True,True,False,False,False,False,False,True,False,False,True
d0411b,DNV2_NS5A-x0411_A_1708_v1,DNV2_NS5A-x0411,Z1198177230,COc1ccccc1-c1nnco1,DNV2_NS5A-x0411/A/605/A_v1,False,10a - DNV2_NS5A-x0411/A/1707,10 - DNV2_NS5A-x0411/A/1707/1,F1s - DNV2_NS5A-x0411/A/1707/1,A1 - monomer,F1 - I222,10a - d0411/A/1707,10 - d0411/A/1707/1,F1s - d0411/A/1707,A1 - monomer,F1 - I222,10a - d0411/A/1707,10 - d0411/A/1707/1,F1s - d0411/A/1707,A1 - monomer,F1 - I222,d0411a,True,True,False,False,False,False,False,True,False,False,True
d0411a,DNV2_NS5A-x0411_A_1707_v1,DNV2_NS5A-x0411,Z1198177230,COc1ccccc1-c1nnco1,DNV2_NS5A-x0411/A/605/A_v1,False,10a - DNV2_NS5A-x0411/A/1707,10 - DNV2_NS5A-x0411/A/1707/1,F1s - DNV2_NS5A-x0411/A/1707/1,A1 - monomer,F1 - I222,10a - d0411/A/1707,10 - d0411/A/1707/1,F1s - d0411/A/1707,A1 - monomer,F1 - I222,10a - d0411/A/1707,10 - d0411/A/1707/1,F1s - d0411/A/1707,A1 - monomer,F1 - I222,d0411a,True,True,False,False,False,False,False,True,False,False,True
d0428a,DNV2_NS5A-x0428_A_1608_v1,DNV2_NS5A-x0428,Z1203329531,CC(=O)NCC1(O)CCCC1,DNV2_NS5A-x0428/A/533/A_v1,False,19a - DNV2_NS5A-x0428/A/1608,19 - DNV2_NS5A-x0428/A/1608/1,F1ab - DNV2_NS5A-x0428/A/1608/1,A1 - monomer,F1 - I222,19a - d0428/A/1608,19 - d0428/A/1608/1,F1ab - d0428/A/1608,A1 - monomer,F1 - I222,19a - d0428/A/1608,19 - d0428/A/1608/1,F1ab - d0428/A/1608,A1 - monomer,F1 - I222,d0428a,True,True,False,False,False,False,False,True,False,False,True
d0471a,DNV2_NS5A-x0471_A_1608_v1,DNV2_NS5A-x0471,Z1262617180,c1ncc2c(n1)C[C@@H]1CC[C@H]2N1,DNV2_NS5A-x0471/A/389/A_v1,False,11a - DNV2_NS5A-x0471/A/1608,11 - DNV2_NS5A-x0471/A/1608/1,F1t - DNV2_NS5A-x0471/A/1608/1,A1 - monomer,F1 - I222,11a - d0471/A/1608,11 - d0471/A/1608/1,F1t - d0471/A/1608,A1 - monomer,F1 - I222,11a - d0471/A/1608,11 - d0471/A/1608/1,F1t - d0471/A/1608,A1 - monomer,F1 - I222,d0471a,True,True,False,False,False,False,False,True,False,False,True
d0851b,DNV2_NS5A-x0851_A_1701_v1,DNV2_NS5A-x0851,POB0029,C[C@H]1CCC[C@@H](CO)N1S(C)(=O)=O,DNV2_NS5A-x0471/A/389/A_v1,False,11b - DNV2_NS5A-x0851/A/1701,11 - DNV2_NS5A-x0471/A/1608/1,F1t - DNV2_NS5A-x0471/A/1608/1,A1 - monomer,F1 - I222,11b - d0851/A/1701,11 - d0471/A/1608/1,F1t - d0471/A/1608,A1 - monomer,F1 - I222,11b - d0851/A/1701,11 - d0471/A/1608/1,F1t - d0471/A/1608,A1 - monomer,F1 - I222,d0851b,True,True,False,False,False,False,False,True,False,False,False
d0479a,DNV2_NS5A-x0479_A_1707_v1,DNV2_NS5A-x0479,Z1269139261,O=S1(=O)CCN(Cc2ccco2)CC1,DNV2_NS5A-x0479/A/453/A_v1,False,12a - DNV2_NS5A-x0479/A/1707,12 - DNV2_NS5A-x0479/A/1707/1,F1u - DNV2_NS5A-x0479/A/1707/1,A1 - monomer,F1 - I222,12a - d0479/A/1707,12 - d0479/A/1707/1,F1u - d0479/A/1707,A1 - monomer,F1 - I222,12a - d0479/A/1707,12 - d0479/A/1707/1,F1u - d0479/A/1707,A1 - monomer,F1 - I222,d0479a,True,True,False,False,False,False,False,True,False,False,False
d0963a,DNV2_NS5A-x0963_A_1801_v1,DNV2_NS5A-x0963,NCL-00023818,Ic1cn[nH]c1,DNV2_NS5A-x0479/A/453/A_v1,False,12a - DNV2_NS5A-x0479/A/1707,12 - DNV2_NS5A-x0479/A/1707/1,F1u - DNV2_NS5A-x0479/A/1707/1,A1 - monomer,F1 - I222,12a - d0479/A/1707,12 - d0479/A/1707/1,F1u - d0479/A/1707,A1 - monomer,F1 - I222,12a - d0479/A/1707,12 - d0479/A/1707/1,F1u - d0479/A/1707,A1 - monomer,F1 - I222,d0963a,True,True,False,False,False,False,False,True,False,False,True
d0789a,DNV2_NS5A-x0789_A_1701_v1,DNV2_NS5A-x0789,Z329734230,CC1=NN(c2cccc(N)c2)C(=O)C1,DNV2_NS5A-x0789/A/885/A_v1,False,20a - DNV2_NS5A-x0789/A/1701,20 - DNV2_NS5A-x0789/A/1701/1,F1ac - DNV2_NS5A-x0789/A/1701/1,A1 - monomer,F1 - I222,20a - d0789/A/1701,20 - d0789/A/1701/1,F1ac - d0789/A/1701,A1 - monomer,F1 - I222,20a - d0789/A/1701,20 - d0789/A/1701/1,F1ac - d0789/A/1701,A1 - monomer,F1 - I222,d0789a,True,True,False,False,False,False,False,True,False,False,True
d0825c,DNV2_NS5A-x0825_A_1701_v1,DNV2_NS5A-x0825,Z3765495818,NS(=O)(=O)c1cnc2cccnn12,DNV2_NS5A-x0825/A/487/A_v1,False,21a - DNV2_NS5A-x0825/A/1701,21 - DNV2_NS5A-x0825/A/1701/1,F1ad - DNV2_NS5A-x0825/A/1701/1,A1 - monomer,F1 - I222,21a - d0825/A/1701,21 - d0825/A/1701/1,F1ad - d0825/A/1701,A1 - monomer,F1 - I222,21a - d0825/A/1701,21 - d0825/A/1701/1,F1ad - d0825/A/1701,A1 - monomer,F1 - I222,d0825c,True,True,False,False,False,False,False,True,True,False,False
d0825b,DNV2_NS5A-x0825_A_1901_v1,DNV2_NS5A-x0825,Z3765495818,NS(=O)(=O)c1cnc2cccnn12,DNV2_NS5A-x0825/A/543/A_v1,False,13a - DNV2_NS5A-x0825/A/1801,13 - DNV2_NS5A-x0825/A/1801/1,F1v - DNV2_NS5A-x0825/A/1801/1,A1 - monomer,F1 - I222,13a - d0825/A/1801,13 - d0825/A/1801/1,F1v - d0825/A/1801,A1 - monomer,F1 - I222,13a - d0825/A/1801,13 - d0825/A/1801/1,F1v - d0825/A/1801,A1 - monomer,F1 - I222,d0825a,True,True,False,False,False,False,False,False,False,False,False
d0825a,DNV2_NS5A-x0825_A_1801_v1,DNV2_NS5A-x0825,Z3765495818,NS(=O)(=O)c1cnc2cccnn12,DNV2_NS5A-x0825/A/543/A_v1,False,13a - DNV2_NS5A-x0825/A/1801,13 - DNV2_NS5A-x0825/A/1801/1,F1v - DNV2_NS5A-x0825/A/1801/1,A1 - monomer,F1 - I222,13a - d0825/A/1801,13 - d0825/A/1801/1,F1v - d0825/A/1801,A1 - monomer,F1 - I222,13a - d0825/A/1801,13 - d0825/A/1801/1,F1v - d0825/A/1801,A1 - monomer,F1 - I222,d0825a,True,True,False,False,False,False,False,True,False,False,False
d1037b,DNV2_NS5A-x1037_A_1901_v1,DNV2_NS5A-x1037,Z3241250482,O=S1(=O)CC(O)C1,DNV2_NS5A-x1037/A/530/A_v1,False,22a - DNV2_NS5A-x1037/A/1901,22 - DNV2_NS5A-x1037/A/1901/1,F1ae - DNV2_NS5A-x1037/A/1901/1,A1 - monomer,F1 - I222,22a - d1037/A/1901,22 - d1037/A/1901/1,F1ae - d1037/A/1901,A1 - monomer,F1 - I222,22a - d1037/A/1901,22 - d1037/A/1901/1,F1ae - d1037/A/1901,A1 - monomer,F1 - I222,d1037b,True,True,False,False,False,False,False,True,False,False,True
d1037c,DNV2_NS5A-x1037_A_2101_v1,DNV2_NS5A-x1037,Z3241250482,O=S1(=O)CC(O)C1,DNV2_NS5A-x1037/A/678/A_v1,False,23a - DNV2_NS5A-x1037/A/2101,23 - DNV2_NS5A-x1037/A/2101/1,F1af - DNV2_NS5A-x1037/A/2101/1,A1 - monomer,F1 - I222,23a - d1037/A/2101,23 - d1037/A/2101/1,F1af - d1037/A/2101,A1 - monomer,F1 - I222,23a - d1037/A/2101,23 - d1037/A/2101/1,F1af - d1037/A/2101,A1 - monomer,F1 - I222,d1037c,True,True,False,False,False,False,False,True,False,False,True
d1046a,DNV2_NS5A-x1046_A_1701_v1,DNV2_NS5A-x1046,Z3219959731,O=c1cccn[nH]1,DNV2_NS5A-x1046/A/514/A_v1,False,14a - DNV2_NS5A-x1046/A/1701,14 - DNV2_NS5A-x1046/A/1701/1,F1w - DNV2_NS5A-x1046/A/1701/1,A1 - monomer,F1 - I222,14a - d1046/A/1701,14 - d1046/A/1701/1,F1w - d1046/A/1701,A1 - monomer,F1 - I222,14a - d1046/A/1701,14 - d1046/A/1701/1,F1w - d1046/A/1701,A1 - monomer,F1 - I222,d1046a,True,True,False,False,False,False,False,True,False,False,True
d1073a,DNV2_NS5A-x1073_A_1608_v1,DNV2_NS5A-x1073,Z1741972704,Nc1ccon1,DNV2_NS5A-x1046/A/514/A_v1,False,14a - DNV2_NS5A-x1046/A/1701,14 - DNV2_NS5A-x1046/A/1701/1,F1w - DNV2_NS5A-x1046/A/1701/1,A1 - monomer,F1 - I222,14a - d1046/A/1701,14 - d1046/A/1701/1,F1w - d1046/A/1701,A1 - monomer,F1 - I222,14a - d1046/A/1701,14 - d1046/A/1701/1,F1w - d1046/A/1701,A1 - monomer,F1 - I222,d1073a,True,True,False,False,False,False,False,True,False,False,False
d1094a,DNV2_NS5A-x1094_A_1701_v1,DNV2_NS5A-x1094,HL11,Brc1ncccn1,DNV2_NS5A-x1094/A/711/A_v1,False,24a - DNV2_NS5A-x1094/A/1701,24 - DNV2_NS5A-x1094/A/1701/1,F1ag - DNV2_NS5A-x1094/A/1701/1,A1 - monomer,F1 - I222,24a - d1094/A/1701,24 - d1094/A/1701/1,F1ag - d1094/A/1701,A1 - monomer,F1 - I222,24a - d1094/A/1701,24 - d1094/A/1701/1,F1ag - d1094/A/1701,A1 - monomer,F1 - I222,d1094a,True,True,False,False,False,False,False,True,False,False,True
d1196a,DNV2_NS5A-x1196_A_1701_v1,DNV2_NS5A-x1196,Z48978335,O=C1NC2(CCCC2)Nc2ccccc21,DNV2_NS5A-x1196/A/662/A_v1,False,25a - DNV2_NS5A-x1196/A/1701,25 - DNV2_NS5A-x1196/A/1701/1,F1ah - DNV2_NS5A-x1196/A/1701/1,A1 - monomer,F1 - I222,25a - d1196/A/1701,25 - d1196/A/1701/1,F1ah - d1196/A/1701,A1 - monomer,F1 - I222,25a - d1196/A/1701,25 - d1196/A/1701/1,F1ah - d1196/A/1701,A1 - monomer,F1 - I222,d1196a,True,True,False,False,False,True,False,True,False,False,False
d1217a,DNV2_NS5A-x1217_A_1608_v1,DNV2_NS5A-x1217,Z53833304,CCn1cnc2ccccc21,DNV2_NS5A-x1217/A/677/A_v1,False,26a - DNV2_NS5A-x1217/A/1608,26 - DNV2_NS5A-x1217/A/1608/1,F1ai - DNV2_NS5A-x1217/A/1608/1,A1 - monomer,F1 - I222,26a - d1217/A/1608,26 - d1217/A/1608/1,F1ai - d1217/A/1608,A1 - monomer,F1 - I222,26a - d1217/A/1608,26 - d1217/A/1608/1,F1ai - d1217/A/1608,A1 - monomer,F1 - I222,d1217a,True,True,False,False,False,False,False,True,False,False,True
