Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] Dimer Site,[Other] Active Site,[Other] Herbicide Site
fa1657b,FATAATA-x1657_B_401_v1,FATAATA-x1657,Z1639162606,CNS(=O)(=O)c1cccc(C)c1F,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1657a,False,False,False
fa1682a,FATAATA-x1682_A_401_v1,FATAATA-x1682,Z1916655441,NCc1noc(-c2ccccc2F)n1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1682a,False,False,True
fa1682b,FATAATA-x1682_B_401_v1,FATAATA-x1682,Z1916655441,NCc1noc(-c2ccccc2F)n1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1682a,False,False,False
fa1684a,FATAATA-x1684_A_360_v1,FATAATA-x1684,Z192955056,COC(=O)N1CCN(c2ccc(F)cc2)CC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1684a,False,False,True
fa1684b,FATAATA-x1684_B_401_v1,FATAATA-x1684,Z192955056,COC(=O)N1CCN(c2ccc(F)cc2)CC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1684a,False,False,False
fa1708a,FATAATA-x1708_A_361_v1,FATAATA-x1708,Z2072621991,O=C(COC(F)F)N1C[C@H]2CCC[C@H]2C1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1708a,False,False,True
fa1708b,FATAATA-x1708_B_360_v1,FATAATA-x1708,Z2072621991,O=C(COC(F)F)N1C[C@H]2CCC[C@H]2C1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1708a,False,False,False
fa1721a,FATAATA-x1721_A_360_v1,FATAATA-x1721,Z2217052426,C[C@H]1[C@H](O)CCCN1Cc1ccccc1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1721a,False,False,True
fa1721b,FATAATA-x1721_B_401_v1,FATAATA-x1721,Z2217052426,C[C@H]1[C@H](O)CCCN1Cc1ccccc1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa1721a,False,False,False
fa1735a,FATAATA-x1735_A_360_v1,FATAATA-x1735,Z228587394,COc1ccnc(N2CCNCC2)n1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985+A+360,3 - FATAATA-x1985+A+360+1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985+A+360,3 - fa1985+A+360+1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,3a - fa1985+A+360,3 - fa1985+A+360+1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa1735a,False,True,False
